1;3;Для какого из приведённых значений числа X ложно высказывание: НЕ (X < 6) ИЛИ (X < 5)?  ;5;7,6,4;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (X >= 6) ИЛИ (X < 5){n} {n}и проверим все варианты ответа.{n} {n}7 -  Истинно, поскольку истинно первое высказывание: 7 больше 6.{n}6 -  Истинно, поскольку истинно первое высказывание: 6 не меньше 6.{n}5 -  Ложно, поскольку ложны оба высказывания: 5 не больше 6 и 5 не меньше 5.{n}4 -  Истинно, поскольку истинно второе высказывание: 4 меньше 5.{n} {n}Правильный ответ указан под номером 3.{n}
2;2;Для какого из приведённых значений числа X истинно высказывание: НЕ (X < 6) И (X < 7)?   ;6;5,7,8;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(X >= 6) И (X < 7){n} {n}и проверим все варианты ответа.{n} {n}5 -  Ложно, поскольку ложно первое высказывание: 5 не меньше 6.{n}6 -  Истинно, поскольку истинны оба высказывания: 6 не меньше 6 и 6 меньше 7.{n}7 -  Ложно, поскольку ложно второе высказывание: 7 меньше 7.{n}8 -  Ложно, поскольку ложно второе высказывание: 8 меньше 7.{n} {n}Правильный ответ указан под номером 2.{n}
3;3;Для какого из приведённых значений числа X истинно высказывание: (X < 8) И НЕ (X < 7)?  ;7;9,8,6;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(X < 8) И (X >= 7){n} {n}и проверим все варианты ответа.{n} {n}9 -  Ложно, поскольку ложно первое высказывание.{n}8 -  Ложно, поскольку ложно первое высказывание.{n}7 -  Истинно, истинны оба выражения: 7 меньше 8 и 7 не меньше 7.{n}6 -  Ложно, поскольку ложно второе высказывание.{n} {n}Правильный ответ указан под номером 3.{n}
4;2;Для какого из приведённых значений числа X истинно высказывание: НЕ(X > 5) И  (X > 4)?  ;5;4,6,7;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(X =< 5) И (X > 7 - {n} {n}и проверим все варианты ответа.{n} {n}4 -  Ложно, поскольку ложно второе высказывание: 4 больше 4.{n}5 -  Истинно, поскольку истинны оба высказывания: 5 не больше 5 и 5 больше 4.{n}6 -  Ложно, поскольку ложно первое высказывание: 6 не больше 5.{n}7 -  Ложно, поскольку ложно первое высказывание: 7 не больше 5.{n} {n}Правильный ответ указан под номером 2.{n}
5;2;Для какого из приведённых значений числа X истинно высказывание:  НЕ(X < 5) И  (X < 6)?  ;5;6,4,3;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(X >= 5) И (X < 6){n} {n}и проверим все варианты ответа.{n} {n}6 -  Ложно, поскольку ложно второе высказывание: 6 < 6.{n}5 -  Истинно, поскольку истинны оба высказывания: 5 не меньше 5 и 5 меньше 6.{n}4 -  Ложно, поскольку ложно первое высказывание: 4 меньше 5.{n}3 -  Ложно, поскольку ложно первое высказывание: 3 не меньше 5.{n} {n}Правильный ответ указан под номером 2.{n}
6;3;Для какого из приведённых значений числа X истинно высказывание:  (X < 7) И НЕ (X < 6)?   ;6;4,5,7;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (X < 7) И (X >= 6){n} {n}и проверим все варианты ответа.{n} {n}4 -  Ложно, поскольку ложно второе высказывание: 4 не меньше 6.{n}5 -  Ложно, поскольку ложно второе высказывание: 5 не меньше 6.{n}6 -  Истинно, поскольку истинны оба высказывания: 6 меньше 7 и 6 не меньше 6.{n}7 -  Ложно, поскольку ложно первое высказывание: 7 меньше 7.{n} {n}Правильный ответ указан под номером 3.{n}
7;3;Для какого из приведённых значений числа X ложно высказывание:  НЕ (X < 7) ИЛИ  (X < 6)?   ;6;4,5,7;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (X >= 7) ИЛИ (X < 6){n} {n}и проверим все варианты ответа.{n} {n}4 -  Истинно, поскольку истинно второе высказывание: 4 меньше 6.{n}5 -  Истинно, поскольку истинно второе высказывание: 5 меньше 6.{n}6 -  Ложно, поскольку ложны оба высказывания: 6 не больше 7 и 6 не меньше 6.{n}7 -  Истинно, поскольку истинно первое высказывание: 7 не меньше 7.{n} {n}Правильный ответ указан под номером 3.{n}
8;1;Для какого из приведённых чисел истинно высказывание: НЕ (число < 100) И НЕ (число чётное)?  ;123;106,37,8;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} {n} {n}и проверим все варианты ответа.{n} {n}123 -  Истинно, поскольку истинны оба высказывания: 123 не меньше 100 и 123 — нечётное число.{n}106 -  Ложно, поскольку ложно второе высказывание: 106 — чётное.{n}37 -  Ложно, поскольку ложно первое высказывание: 37 не меньше 100.{n}8 -  Ложно, поскольку ложно второе высказывание: 8 — нечётное.{n} {n}Правильный ответ указан под номером 1.{n}
9;3;Для какого из приведённых чисел истинно высказывание: (число < 100) И НЕ (число чётное)?   ;23;156,105,10;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(число < 100) И (число нечётное){n} {n}и проверим все варианты ответа.{n} {n}156 -  Ложно, поскольку ложно первое высказывание: 156 меньше 100.{n}105 -  Ложно, поскольку ложно первое высказывание: 105 меньше 100.{n}23 -  Истинно, поскольку истинны оба высказывания: 23 меньше 100 и 23 — нечётное.{n}10 -  Ложно, поскольку ложно второе высказывание: 10 — нечётное.{n} {n}Правильный ответ указан под номером 3.{n}
10;3;Для какого из приведённых чисел истинно высказывание: НЕ (число <50) И  (число чётное)?   ;74;24,45,99;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(число >= 50) И (число чётное){n} {n}и проверим все варианты ответа.{n} {n}24 -  Ложно, поскольку ложно первое высказывание: 24 больше или равно 50.{n}45 -  Ложно, поскольку ложно первое высказывание: 45 меньше или равно 50.{n}74 -  Истинно, поскольку истинны оба высказывания: 74 — чётное И 74 больше или равно 50.{n}99 -  Ложно, поскольку ложно второе высказывание: 99 — нечётное.{n} {n}Правильный ответ указан под номером 3.{n}
11;2;Для какого из приведённых чисел истинно высказывание: (число <75) И НЕ (число чётное)?   ;53;46,80,99;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(число < 75) И (число нечётное){n} {n}и проверим все варианты ответа.{n} {n}46 -  Ложно, поскольку ложно второе высказывание: 46 — нечётное. {n}53 -  Истинно, поскольку истинны оба высказывания: 53 меньше 75 и 53 — нечётное.{n}80 -  Ложно, поскольку ложно первое высказывание: 80 меньше 75.{n}99 -  Ложно, поскольку ложно первое высказывание: 99 не меньше 75.{n} {n}Правильный ответ указан под номером 2.{n}
12;4;Для какого из приведённых чисел ложно высказывание: НЕ (число <10) ИЛИ НЕ (число чётное)?  ;8;123,56,9;{n}Логическое «ИЛИ» истинно тогда, когда истинно хотя бы одно высказывание. Запишем выражение в виде{n} {n}(число >= 10) ИЛИ (число нечётное){n} {n}и проверим все варианты ответа.{n} {n}123 -  Истинно, поскольку истинно первое высказывание: 123 не меньше 10.{n}56 -  Истинно, поскольку истинно первое высказывание: 56 не меньше 10.{n}9 -  Истинно, поскольку истинно второе высказывание: 9 — нечётное.{n}8 -  Ложно, поскольку ложны оба высказывания: 8 не меньше 10 и 8 — чётное.{n} {n}Правильный ответ указан под номером 4.{n}
13;2;Для какого из приведённых чисел ложно высказывание: (число < 40) ИЛИ НЕ (число чётное)?  ;56;123,9,8;{n}Логическое «ИЛИ» истинно тогда, когда истинно хотя бы одно высказывание. Запишем выражение в виде{n} {n}(число < 40) ИЛИ (число нечётное){n} {n}и проверим все варианты ответа.{n} {n}123 -  Истинно, поскольку истинно второе высказывание: 123 — нечётное.{n}56 -  Ложно, поскольку ложны оба высказывания: 56 меньше 40 и 56 — чётное.{n}9 -  Истинно, поскольку истинно второе высказывание: 9 — нечётное.{n}8 -  Истинно, поскольку истинно первое высказывание: 8 меньше 40. {n} {n}Правильный ответ указан под номером 2.{n}
